category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pop,4cqVjzC0AxeDmdeJbV3lHH,47,0.515,0.335,7,-12.794,0.0292,0.624,0.00559,0.122,0.0625,95.032
Pop,4WtOFEQOJ3TOPL9iRKWJ95,45,0.843,0.431,1,-9.486,0.0692,0.36,3.80E-05,0.297,0.396,97.993
Pop,6ht5cDaJsrvWXCOd0vkIsX,45,0.591,0.797,7,-3.544,0.109,0.0994,0,0.0797,0.785,89.968
Pop,2Ok9PIQhVkKAaPTMbM4EvS,62,0.333,0.349,3,-8.062,0.0398,0.874,0,0.144,0.418,208.787
Pop,6hGysJfPg591z5fqvTYL8O,55,0.592,0.857,6,-6.817,0.0315,0.0512,3.00E-06,0.334,0.505,107.092
Pop,2KwojFDebQV4J2b0JMRR5Q,0,0.761,0.785,8,-5.502,0.0505,0.234,0.237,0.0573,0.58,104.992
Pop,3JFeaupbz1zMukrzCTURyB,39,0.413,0.303,0,-7.278,0.028,0.725,1.40E-05,0.0888,0.0344,82.532
Pop,7vMSXN0IQoc9JjRZwkEi7U,37,0.947,0.718,4,-5.066,0.117,0.0421,0,0.109,0.913,108.01
Pop,0CokSRCu5hZgPxcZBaEzVE,93,0.731,0.794,0,-5.126,0.0522,0.0323,2.60E-05,0.112,0.356,139.994
Pop,3kIeJLCxDortXq05tBAbxA,50,0.638,0.864,2,-3.855,0.241,0.155,0,0.118,0.583,125.123
Pop,6JAXWoK53LV3hYARf4TzzP,69,0.359,0.208,7,-10.567,0.036,0.943,0,0.0931,0.104,83.155
Pop,5OXwaPptL6NFHFJj48c2QT,60,0.668,0.899,10,-2.86,0.0521,0.0852,0,0.394,0.659,117.022
Pop,6HZ9VeI5IRFCNQLXhpF4bq,66,0.711,0.906,8,-2.671,0.0284,0.00952,1.60E-05,0.153,0.818,125.916
Pop,1bp8Guwv6wcMk3zWahoWRz,50,0.611,0.473,2,-8.9,0.0282,0.589,0.000151,0.122,0.133,115.978
Pop,3CKLPDN1AIOYa7QPpy6oDH,15,0.488,0.595,2,-9.074,0.0533,0.0421,0.000465,0.143,0.733,128.013
Pop,0EMmVUYs9ZZRHtlADB88uz,71,0.45,0.658,2,-7.064,0.0472,0.648,3.00E-06,0.264,0.787,106.799
Pop,6sy3LkhNFjJWlaeSMNwQ62,77,0.663,0.714,1,-4.944,0.038,0.0649,0,0.116,0.471,121.99
Pop,1g8SMKoCmrJKFgb7Luq4mJ,64,0.438,0.273,6,-6.821,0.0352,0.897,0,0.108,0.434,187.093
Pop,26K4tbF6waeJzo11e3JDo8,76,0.642,0.791,0,-6.073,0.137,0.0242,0.00891,0.192,0.359,169.84
Pop,5fuGP7Dze9tkadS9WoPbar,53,0.836,0.644,1,-8.11,0.0522,0.0235,0.194,0.297,0.661,99.721
Pop,1qm3gDt3FHyz6PopoEhFbG,1,0.601,0.861,4,-4.772,0.0332,0.00434,0.171,0.0621,0.5,119.998
Pop,0Hf4aIJpsN4Os2f0y0VqWl,70,0.673,0.758,7,-3.632,0.158,0.039,0,0.341,0.541,135.956
Pop,3mr584ZFSkZrWja9kJAzlb,67,0.346,0.552,0,-6.864,0.0282,0.417,0,0.114,0.078,75.881
Pop,6gttjO6hxvBiPI9YcQtG4g,68,0.904,0.586,2,-6.04,0.136,0.145,0,0.0653,0.763,104.964
Pop,5tAcSUOssshHIbn8zgMF01,19,0.442,0.886,7,-6.746,0.0537,0.00312,0,0.314,0.821,161.066
Pop,1kYwPA6nQk0qGUeGi6Ccsi,34,0.776,0.836,6,-6.984,0.0541,0.608,0.00075,0.22,0.962,133.521
Pop,0Ph6L4l8dYUuXFmb71Ajnd,71,0.425,0.954,1,-3.756,0.0476,0.00411,0,0.0555,0.939,178.043
Pop,21i3JjSTPryzlVKNBiWjxE,20,0.318,0.841,6,-4.926,0.3,0.783,0,0.096,0.729,165.634
Pop,7BveOHNCRW3FqnAtA2Gnb0,44,0.563,0.603,7,-8.06,0.0299,0.0208,4.40E-05,0.169,0.356,94.582
Pop,44l4cnTTo3BgrPtqePhJFu,43,0.665,0.664,2,-5.505,0.0724,0.74,0,0.25,0.587,76.968
Pop,11HLyzoCyx8hXKXVmrg1Sy,52,0.67,0.512,7,-14.62,0.0335,7.90E-05,0.0985,0.105,0.965,125.18
Pop,432fRHq6vKAP11oUDYDPiY,60,0.604,0.791,6,-4.887,0.0305,0.0738,0,0.211,0.402,90.939
Pop,7zOoHxDt1duHL8czY7o7ab,72,0.526,0.412,9,-9.292,0.0385,0.804,0,0.117,0.289,79.732
Pop,2BZjcbZpQyyhpVr3gMGPn6,52,0.368,0.516,4,-6.058,0.0348,0.11,1.00E-05,0.0955,0.436,178.889
Pop,7zgveKrOxukG95vxIO3KHd,53,0.691,0.525,9,-7.185,0.217,0.222,0,0.186,0.413,112.636
Pop,3BgvCj5oUc8jpL8YCB9y8S,80,0.463,0.388,7,-9.367,0.0437,0.282,3.00E-06,0.0866,0.166,77.415
Pop,5nK4zzGtYgKqLKvbnaB0H9,48,0.806,0.205,7,-12.253,0.0451,0.92,0,0.113,0.42,118.026
Pop,4esmMZzUcSw6cgd8WbSOgi,64,0.509,0.257,6,-13.962,0.108,0.733,0,0.312,0.56,187.366
Pop,16GHcGtW9Io7AuVdNmTjv3,44,0.375,0.862,11,-3.363,0.255,0.071,0,0.211,0.472,159.841
