,songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
3192,4cqVjzC0AxeDmdeJbV3lHH,These Woods (Human Made),KLARA,47,0.515,0.335,7,-12.794,0.0292,0.624,0.0055899999999999995,0.122,0.0625,95.03200000000001,4,Pop
3193,4WtOFEQOJ3TOPL9iRKWJ95,You,Brika,45,0.843,0.431,1,-9.486,0.0692,0.36,3.8e-05,0.297,0.396,97.993,4,Pop
3194,6ht5cDaJsrvWXCOd0vkIsX,Hope You Understand,Grace,45,0.591,0.797,7,-3.5439999999999996,0.109,0.0994,0.0,0.0797,0.785,89.96799999999999,4,Pop
3195,2Ok9PIQhVkKAaPTMbM4EvS,More Than You Know,Plain Simple,62,0.33299999999999996,0.349,3,-8.062000000000001,0.0398,0.8740000000000001,0.0,0.14400000000000002,0.418,208.787,4,Pop
3196,6hGysJfPg591z5fqvTYL8O,You Got The Love,Various Artists,55,0.5920000000000001,0.857,6,-6.817,0.0315,0.0512,3e-06,0.33399999999999996,0.505,107.09200000000001,4,Pop
3197,2KwojFDebQV4J2b0JMRR5Q,Is That For Me,Alesso,0,0.7609999999999999,0.785,8,-5.502000000000001,0.0505,0.23399999999999999,0.237,0.0573,0.58,104.992,4,Pop
3198,3JFeaupbz1zMukrzCTURyB,Turn Out the Lights,Julien Baker,39,0.413,0.303,0,-7.278,0.027999999999999997,0.725,1.4000000000000001e-05,0.0888,0.0344,82.53200000000001,4,Pop
3199,7vMSXN0IQoc9JjRZwkEi7U,Kolewerk (Remix),Koker,37,0.9470000000000001,0.718,4,-5.066,0.11699999999999999,0.0421,0.0,0.109,0.9129999999999999,108.01,4,Pop
3202,0CokSRCu5hZgPxcZBaEzVE,Glorious (feat. Skylar Grey),Macklemore,93,0.731,0.794,0,-5.126,0.0522,0.0323,2.6000000000000002e-05,0.11199999999999999,0.35600000000000004,139.994,4,Pop
3203,3kIeJLCxDortXq05tBAbxA,Window Seat,Fuse ODG,50,0.638,0.8640000000000001,2,-3.855,0.24100000000000002,0.155,0.0,0.11800000000000001,0.583,125.12299999999999,4,Pop
3204,6JAXWoK53LV3hYARf4TzzP,Symphony - Acoustic,Thomas Daniel,69,0.359,0.20800000000000002,7,-10.567,0.036000000000000004,0.943,0.0,0.0931,0.10400000000000001,83.155,3,Pop
3205,5OXwaPptL6NFHFJj48c2QT,Higher,The Saturdays,60,0.6679999999999999,0.899,10,-2.86,0.0521,0.0852,0.0,0.39399999999999996,0.659,117.022,4,Pop
3206,6HZ9VeI5IRFCNQLXhpF4bq,I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Icona Pop,66,0.711,0.9059999999999999,8,-2.6710000000000003,0.0284,0.00952,1.6e-05,0.153,0.818,125.916,4,Pop
3207,1bp8Guwv6wcMk3zWahoWRz,All I Need,Tim Halperin,50,0.611,0.473,2,-8.9,0.0282,0.589,0.000151,0.122,0.133,115.978,4,Pop
3208,3CKLPDN1AIOYa7QPpy6oDH,Cars,Gary Numan,15,0.488,0.595,2,-9.074,0.0533,0.0421,0.000465,0.14300000000000002,0.733,128.013,4,Pop
3209,0EMmVUYs9ZZRHtlADB88uz,Come On Eileen,Dexys Midnight Runners,71,0.45,0.6579999999999999,2,-7.064,0.0472,0.648,3e-06,0.264,0.787,106.79899999999999,4,Pop
3210,6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,OneRepublic,77,0.6629999999999999,0.7140000000000001,1,-4.944,0.038,0.0649,0.0,0.11599999999999999,0.47100000000000003,121.99,4,Pop
3211,1g8SMKoCmrJKFgb7Luq4mJ,No Promises,Olga Chung,64,0.43799999999999994,0.273,6,-6.821000000000001,0.0352,0.897,0.0,0.10800000000000001,0.434,187.093,4,Pop
3212,26K4tbF6waeJzo11e3JDo8,So Am I (feat. Damian Marley & Skrillex),Ty Dolla $ign,76,0.642,0.7909999999999999,0,-6.0729999999999995,0.13699999999999998,0.0242,0.00891,0.192,0.359,169.84,4,Pop
3214,5fuGP7Dze9tkadS9WoPbar,Fly,Sugar Ray,53,0.836,0.644,1,-8.11,0.0522,0.0235,0.19399999999999998,0.297,0.6609999999999999,99.721,4,Pop
3215,1qm3gDt3FHyz6PopoEhFbG,Clear the Air,Jacco Gardner,1,0.601,0.861,4,-4.772,0.0332,0.00434,0.171,0.0621,0.5,119.99799999999999,4,Pop
3216,0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment,Pitbull,70,0.6729999999999999,0.758,7,-3.6319999999999997,0.158,0.039,0.0,0.341,0.541,135.95600000000002,4,Pop
3217,3mr584ZFSkZrWja9kJAzlb,Skyfall,Adele,67,0.34600000000000003,0.552,0,-6.864,0.0282,0.41700000000000004,0.0,0.114,0.078,75.881,4,Pop
