category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Pop,6Gds0xbRf66IPJ3Qo0pmPL,55,0.573,0.49700000000000005,11,-5.504,0.442,0.547,0.0,0.0912,0.7340000000000001,123.76299999999999,4
Pop,28yT0sZlkqStSByo1j58J4,64,0.9359999999999999,0.76,1,-7.872999999999999,0.282,0.00391,3e-06,0.0394,0.6559999999999999,128.47899999999998,4
Pop,2mKouqwAIdQnMP43zxR89r,72,0.835,0.7070000000000001,8,-5.074,0.0598,0.0219,2.2e-05,0.10800000000000001,0.92,93.955,4
Pop,191HHrs8Bwa8VZ4IJ2iG67,23,0.43799999999999994,0.653,9,-7.2,0.36,0.7,0.0,0.9440000000000001,0.317,108.36,1
Pop,7iDa6hUg2VgEL1o1HjmfBn,87,0.643,0.7829999999999999,10,-6.457999999999999,0.0856,0.047,0.0,0.083,0.5660000000000001,154.084,4
Pop,7AaZ4n1NQEgmV8rqEl12Fh,47,0.48,0.835,4,-2.121,0.042,0.017,0.0,0.37200000000000005,0.5379999999999999,145.546,4
Pop,3WimH2U1PohKGB3D4yXq9t,1,0.445,0.57,9,-5.96,0.0321,0.529,0.0,0.373,0.6859999999999999,109.24600000000001,4
Pop,1abEKUjJOpSYhwggMfbIWA,53,0.529,0.569,7,-6.711,0.335,0.191,0.0,0.0923,0.635,84.42299999999999,4
Pop,6RPb92J2rlqC1DK7BWIgpF,37,0.563,0.311,0,-9.18,0.0317,0.767,1e-06,0.11,0.205,132.19899999999998,4
Pop,2Pwm2YtneLSWi7vyUpT5fs,47,0.583,0.667,3,-7.351,0.028999999999999998,0.27,3.6e-05,0.16699999999999998,0.515,140.028,4
Pop,4esmMZzUcSw6cgd8WbSOgi,65,0.509,0.257,6,-13.962,0.10800000000000001,0.733,0.0,0.312,0.56,187.36599999999999,4
Pop,1XQSc4ygi9ywfer8aiCn4I,8,0.588,0.6809999999999999,0,-5.7860000000000005,0.0427,0.0311,7.000000000000001e-06,0.434,0.499,104.899,4
Pop,3HW030T8eqPs8wpsgZqCGM,52,0.843,0.433,0,-8.139,0.0676,0.0114,8e-06,0.12300000000000001,0.158,106.02799999999999,4
Pop,5mayqRLrBYxucQ5fXgZ2eY,38,0.7490000000000001,0.38299999999999995,8,-8.466000000000001,0.031,0.284,0.29600000000000004,0.27899999999999997,0.45,97.243,4
Pop,2ZYVlxenokw8vF5Mnf4B7K,68,0.307,0.507,9,-8.666,0.0448,0.258,0.0,0.0989,0.28,82.35600000000001,4
Pop,3OcQ2n0iu7SuyM7SphLKVy,53,0.6409999999999999,0.8009999999999999,2,-6.111000000000001,0.0481,0.213,0.0,0.0984,0.685,129.24200000000002,3
Pop,005lwxGU1tms6HGELIcUv9,66,0.6990000000000001,0.76,5,-3.173,0.0677,0.00223,0.0,0.132,0.711,129.996,4
Pop,7Gzo2I7jLQyvhGTZrkFAhM,44,0.603,0.826,2,-4.167,0.0776,0.6409999999999999,0.0,0.794,0.715,130.091,4
Pop,2gPJ00vC3WKoAja0rNk0F1,70,0.603,0.332,11,-8.261000000000001,0.0412,0.792,0.0,0.128,0.499,173.9,4
Pop,7DVKi33vfwcakr5PHJbaUv,56,0.654,0.285,1,-8.019,0.0387,0.71,0.0,0.172,0.129,147.855,4
Pop,78hpyJZ2DdOTwv7eivWWO5,68,0.601,0.6809999999999999,9,-5.171,0.324,0.58,0.0,0.0934,0.569,98.07799999999999,4
Pop,3hYvGiw2Q8QE2YWdIJLBz0,0,0.536,0.5820000000000001,3,-5.452000000000001,0.0433,0.0241,0.0,0.18100000000000002,0.253,82.14200000000001,4
Pop,2Ok9PIQhVkKAaPTMbM4EvS,61,0.33299999999999996,0.349,3,-8.062000000000001,0.0398,0.8740000000000001,0.0,0.14400000000000002,0.418,208.787,4
Pop,0btP3qCxkLYfNPtYrd8e2r,25,0.474,0.38,5,-10.882,0.43,0.43799999999999994,6.6e-05,0.0936,0.613,65.125,5
Pop,47ltkdjKBMHelkhJavYLQ4,26,0.5920000000000001,0.637,11,-8.48,0.0992,0.562,0.0,0.13,0.563,159.701,4
