"","songid","category.x","popularity.x","danceability.x","energy.x","key.x","loudness.x","speechiness.x","acousticness.x","instrumentalness.x","liveness.x","valence.x","tempo.x","X","song_title","artist_name","popularity.y","danceability.y","energy.y","key.y","loudness.y","speechiness.y","acousticness.y","instrumentalness.y","liveness.y","valence.y","tempo.y","category.y"
"1","005lwxGU1tms6HGELIcUv9","Pop",66,"danceability",0.76,5,-3.173,0.0677,0.00223,0,0.132,0.711,129.996,3943,"I Kissed a Girl","Katy Perry",66,0.699,0.76,5,-3.173,0.0677,0.00223,0,0.132,0.711,129.996,"Pop"
"2","00DcwM45CMDjGChnoFRQ6y","Hip-Hop",76,"0.782",0.566,1,-7.498,0.257,0.00648,1.5e-05,0.221,0.0588,156.012,5460,"Ex Calling","6LACK",75,0.782,0.566,1,-7.498,0.257,0.00648,1.5e-05,0.221,0.0588,156.012,"Hip-Hop"
"3","00FaBIFXUfzaaVcsQmTTJY","Pop",57,"danceability",0.852,11,-6.186,0.121,0.0128,0,0.366,0.806,143.004,3660,"Cant Hold Us","Pentatonix",57,0.657,0.852,11,-6.186,0.121,0.0128,0,0.366,0.806,143.004,"Pop"
"4","00GYNdeBpo0QtByS8MIi9q","Electronic/Dance",67,"0.517",0.66,5,-6.175,0.0315,3.4e-05,0.252,0.571,0.075,90.007,5013,"Meridian","ODESZA",65,0.517,0.66,5,-6.175,0.0315,3.4e-05,0.252,0.571,0.075,90.007,"Electronic/Dance"
"5","00K9plvzFoHEJ71fnVy7J4","Electronic/Dance",24,"0.618",0.856,0,-10.188,0.0443,0.0019,0.725,0.12,0.276,124.993,4071,"Pasilda - Erick Morillo Remix","Afro Medusa",39,0.618,0.856,0,-10.188,0.0443,0.0019,0.725,0.12,0.276,124.993,"Electronic/Dance"
"6","00lMz2LLP4tTBK1EQs5fSZ","Electronic/Dance",59,"0.655",0.638,1,-10.314,0.0436,0.0118,0.89,0.0325,0.0623,119.997,4342,"Shortline - Thomas Jack Remix","Thomas Jack",58,0.655,0.638,1,-10.314,0.0436,0.0118,0.89,0.0325,0.0623,119.997,"Electronic/Dance"
"7","00X2yv2vrtritPt2CZnUTZ","Hip-Hop",70,"0.784",0.7,7,-7.649,0.108,0.491,0,0.108,0.76,82.028,6091,"Bené","PNL",69,0.784,0.7,7,-7.649,0.108,0.491,0,0.108,0.76,82.028,"Hip-Hop"
"8","01kYL8egWVVF09irxev3dh","Hip-Hop",1,"0.76",0.778,11,-6.981,0.0769,0.000694,0,0.348,0.52,131.008,5511,"The Recipe - Bonus Track","Kendrick Lamar",1,0.76,0.778,11,-6.981,0.0769,0.000694,0,0.348,0.52,131.008,"Hip-Hop"
"9","02bT4Tb5OOTiZ3t7NDru0D","Rock",33,"0.682",0.629,6,-3.328,0.042,0.0147,0.000418,0.0918,0.631,109.035,7039,"Give It Up","The Beaches",33,0.682,0.629,6,-3.328,0.042,0.0147,0.000418,0.0918,0.631,109.035,"Rock"
"10","02DaqClSJTt95OvsiroP5j","Hip-Hop",45,"0.387",0.617,11,-6.277,0.151,0.0134,0,0.115,0.558,90.502,6105,"My Jam","Bobby Brackins",44,0.387,0.617,11,-6.277,0.151,0.0134,0,0.115,0.558,90.502,"Hip-Hop"
"11","02dcOQGdOgZyErpbJT4hr5","Pop",59,"danceability",0.309,1,-9.394,0.0337,0.852,0,0.121,0.473,134.654,3996,"Swalla - Acoustic Version","Missy & Blonde",59,0.555,0.309,1,-9.394,0.0337,0.852,0,0.121,0.473,134.654,"Pop"
